"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
68193,68193,68666,69223,70084,65615,-0.00689,"Northwest","Yuba City","CA","California","6101","Sutter County",4115,"california/yuba-city",16.57,-121.642,39.1298,"City",131
68092,68092,67679,67559,66438,62242,0.0061,"Northwest","Lodi","CA","California","6077","San Joaquin County",4977,"california/lodi",13.681,-121.291,38.1216,"City",132
68067,68067,69128,69842,72311,46048,-0.01535,"Northwest","Dublin","CA","California","6001","Alameda County",4470,"california/dublin",15.229,-121.896,37.7161,"City",133
67760,67760,68806,69455,71944,75409,-0.0152,"Southeast","Baldwin Park","CA","California","6037","Los Angeles County",10217,"california/baldwin-park",6.632,-117.971,34.0828,"City",134
66552,66552,67749,68611,71339,66873,-0.01767,"Southeast","Redondo Beach","CA","California","6037","Los Angeles County",10738,"california/redondo-beach",6.198,-118.401,33.8495,"City",135
66120,66120,65782,65444,64392,61388,0.00514,"Northwest","Castro Valley","CA","California","6001","Alameda County",3925,"california/castro-valley",16.848,-122.063,37.7083,"CDP",136
65477,65477,65832,66747,66897,65626,-0.00539,"Northwest","Davis","CA","California","6113","Yolo County",6566,"california/davis",9.972,-121.738,38.5561,"City",137
65455,65455,66147,66816,68223,64341,-0.01046,"Southeast","Yorba Linda","CA","California","6059","Orange County",3280,"california/yorba-linda",19.953,-117.772,33.889,"City",138
65350,65350,65126,64836,64453,51854,0.00344,"Northwest","Brentwood","CA","California","6013","Contra Costa County",4396,"california/brentwood",14.865,-121.719,37.9356,"City",139
65057,65057,65882,66132,68357,64506,-0.01252,"West","Palo Alto","CA","California","6085","Santa Clara County",2705,"california/palo-alto",24.051,-122.143,37.3965,"City",140
63909,63909,65414,66463,69927,69628,-0.02301,"West","Union City","CA","California","6001","Alameda County",3295,"california/union-city",19.398,-122.019,37.6028,"City",141
63090,63090,63111,63132,64787,63387,-0.00033,"Southeast","Florence-Graham","CA","California","6037","Los Angeles County",17979,"california/florence-graham",3.509,-118.245,33.9682,"CDP",142
62891,62891,62876,62836,62831,58225,0.00024,"South","Porterville","CA","California","6107","Tulare County",3347,"california/porterville",18.79,-119.034,36.0635,"City",143
62353,62353,62899,63635,64536,63064,-0.00868,"Southeast","Laguna Niguel","CA","California","6059","Orange County",4231,"california/laguna-niguel",14.736,-117.701,33.5287,"City",144
62196,62196,63123,63073,65902,63674,-0.01469,"West","South San Francisco","CA","California","6081","San Mateo County",6757,"california/south-san-francisco",9.204,-122.376,37.6551,"City",145
62044,62044,63234,63818,66804,69564,-0.01882,"Southeast","Lynwood","CA","California","6037","Los Angeles County",12816,"california/lynwood",4.841,-118.202,33.924,"City",146
61679,61679,62313,62933,64213,63556,-0.01017,"Southeast","San Clemente","CA","California","6059","Orange County",3360,"california/san-clemente",18.356,-117.613,33.4491,"City",147
61174,61174,61123,61791,60969,55558,0.00083,"Northwest","Woodland","CA","California","6113","Yolo County",3994,"california/woodland",15.315,-121.75,38.6712,"City",148
61021,61021,61501,61709,62941,60593,-0.0078,"West","Santa Cruz","CA","California","6087","Santa Cruz County",4790,"california/santa-cruz",12.74,-122.035,36.9744,"City",149
60455,60455,60841,61281,61997,59638,-0.00634,"Southeast","Encinitas","CA","California","6073","San Diego County",3172,"california/encinitas",19.056,-117.264,33.0506,"City",150
60350,60350,60537,60605,61097,57347,-0.00309,"Southeast","La Mesa","CA","California","6073","San Diego County",6638,"california/la-mesa",9.092,-117.022,32.7695,"City",151
60320,60320,60991,61607,63002,61502,-0.011,"Southeast","La Habra","CA","California","6059","Orange County",7980,"california/la-habra",7.559,-117.952,33.9279,"City",152
60205,60205,59938,59600,59135,54511,0.00445,"South","Hanford","CA","California","6031","Kings County",3361,"california/hanford",17.914,-119.655,36.3277,"City",153
60182,60182,58463,55995,53304,37408,0.0294,"Southeast","Beaumont","CA","California","6065","Riverside County",1984,"california/beaumont",30.332,-116.953,33.8767,"City",154
59349,59349,59478,59172,59864,53677,-0.00217,"Southeast","Santee","CA","California","6073","San Diego County",3589,"california/santee",16.537,-116.986,32.855,"City",155
59209,59209,60015,60356,62433,62513,-0.01343,"Southeast","Montebello","CA","California","6037","Los Angeles County",7110,"california/montebello",8.328,-118.111,34.0154,"City",156
59027,59027,59555,60084,61137,57765,-0.00887,"Northwest","San Rafael","CA","California","6041","Marin County",3559,"california/san-rafael",16.587,-122.507,37.981,"City",157
58489,58489,58800,58794,59733,58048,-0.00529,"Northwest","Petaluma","CA","California","6097","Sonoma County",4058,"california/petaluma",14.415,-122.629,38.2423,"City",158
58291,58291,59189,59830,61881,62955,-0.01517,"Southeast","Pico Rivera","CA","California","6037","Los Angeles County",7010,"california/pico-rivera",8.315,-118.089,33.9895,"City",159
